0 <= x 30; y_1 = 80.0 + -0.5x; interpolation 
3990 <= x 4020; y_134 = -2059.9 + 0.5333x; interpolation 
4020 <= x 4050; y_135 = 2094.0 + -0.5x; interpolation 
4050 <= x 4080; y_136 = 474.0 + -0.1x; interpolation 
4080 <= x 4110; y_137 = -342.0 + 0.1x; interpolation 
4110 <= x 4140; y_138 = 616.9 + -0.1333x; interpolation 
4140 <= x 4170; y_139 = -1314.9 + 0.3333x; interpolation 
4170 <= x 4200; y_140 = -759.0 + 0.2x; interpolation 
4200 <= x 4230; y_141 = 1900.9 + -0.4333x; interpolation 
4230 <= x 4260; y_142 = 350.1 + -0.0667x; interpolation 
4260 <= x 4290; y_143 = -1779.9 + 0.4333x; interpolation 
4290 <= x 4320; y_144 = -636.1 + 0.1667x; interpolation 
4320 <= x 4350; y_145 = 804.1 + -0.1667x; interpolation 
4350 <= x 4380; y_146 = 2398.9 + -0.5333x; interpolation 
4380 <= x 4410; y_147 = -1543.1 + 0.3667x; interpolation 
4410 <= x 4440; y_148 = -513.9 + 0.1333x; interpolation 
4440 <= x 4470; y_149 = 1706.1 + -0.3667x; interpolation 
4470 <= x 4500; y_150 = -1721.0 + 0.4x; interpolation 
4500 <= x 4530; y_151 = 1879.0 + -0.4x; interpolation 
4530 <= x 4560; y_152 = -83.80000000000001 + 0.0333x; interpolation 
4560 <= x 4590; y_153 = -2363.8 + 0.5333x; interpolation 
4590 <= x 4620; y_154 = 2838.0 + -0.6x; interpolation 
4620 <= x 4650; y_155 = 219.8 + -0.0333x; interpolation 
4650 <= x 4680; y_156 = -89.80000000000001 + 0.0333x; interpolation 
4680 <= x 4710; y_157 = -89.80000000000001 + 0.0333x; interpolation 
4710 <= x 4740; y_158 = 538.0 + -0.1x; interpolation 
4740 <= x 4770; y_159 = -3096.2 + 0.6667x; interpolation 
4770 <= x 4800; y_160 = 2946.0 + -0.6x; interpolation 
4800 <= x 4830; y_161 = -254.2 + 0.0667x; interpolation 
4830 <= x 4860; y_162 = -2830.0 + 0.6x; interpolation 
4860 <= x 4890; y_163 = 3488.0 + -0.7x; interpolation 
4890 <= x 4920; y_164 = -2542.8 + 0.5333x; interpolation 
4920 <= x 4950; y_165 = -411.0 + 0.1x; interpolation 
4950 <= x 4980; y_166 = 2889.2 + -0.5667x; interpolation 
4980 <= x 5010; y_167 = 67.0 + 0.0x; interpolation 
5010 <= x 5040; y_168 = -2772.2 + 0.5667x; interpolation 
5040 <= x 5070; y_169 = 2604.0 + -0.5x; interpolation 
5070 <= x 5100; y_170 = -2973.0 + 0.6x; interpolation 
5100 <= x 5130; y_171 = 937.2 + -0.1667x; interpolation 
5130 <= x 5160; y_172 = 3330.8 + -0.6333x; interpolation 
5160 <= x 5190; y_173 = -624.8 + 0.1333x; interpolation 
5190 <= x 5220; y_174 = -2874.2 + 0.5667x; interpolation 
5220 <= x 5250; y_175 = 257.8 + -0.0333x; interpolation 
5250 <= x 5280; y_176 = 3058.2 + -0.5667x; interpolation 
5280 <= x 5310; y_177 = -109.80000000000001 + 0.0333x; interpolation 
5310 <= x 5340; y_178 = -2942.2 + 0.5667x; interpolation 
5340 <= x 5370; y_179 = 795.8 + -0.1333x; interpolation 
5370 <= x 5400; y_180 = 2406.8 + -0.4333x; interpolation 
5400 <= x 5430; y_181 = 246.8 + -0.0333x; interpolation 
5430 <= x 5460; y_182 = -3372.8 + 0.6333x; interpolation 
5460 <= x 5490; y_183 = 85.0 + 0.0x; interpolation 
5490 <= x 5520; y_184 = 3379.0 + -0.6x; interpolation 
5520 <= x 5550; y_185 = -116.80000000000001 + 0.0333x; interpolation 
5550 <= x 5580; y_186 = -2891.8 + 0.5333x; interpolation 
5580 <= x 5610; y_187 = 2688.2 + -0.4667x; interpolation 
5610 <= x 5640; y_188 = -2548.2 + 0.4667x; interpolation 
5640 <= x 5670; y_189 = 2904.0 + -0.5x; interpolation 
5670 <= x 5700; y_190 = -2766.0 + 0.5x; interpolation 
5700 <= x 5730; y_191 = 1034.2 + -0.1667x; interpolation 
5730 <= x 5760; y_192 = 2561.8 + -0.4333x; interpolation 
5760 <= x 5790; y_193 = -701.8 + 0.1333x; interpolation 
5790 <= x 5820; y_194 = -2246.0 + 0.4x; interpolation 
5820 <= x 5850; y_195 = 2410.0 + -0.4x; interpolation 
5850 <= x 5880; y_196 = -2855.0 + 0.5x; interpolation 
5880 <= x 5910; y_197 = 477.2 + -0.0667x; interpolation 
5910 <= x 5940; y_198 = 3432.2 + -0.5667x; interpolation 
5940 <= x 5970; y_199 = -725.8 + 0.1333x; interpolation 
5970 <= x 6000; y_200 = -1919.8 + 0.3333x; interpolation 
6000 <= x 6030; y_201 = -320.2 + 0.0667x; interpolation 
6030 <= x 6060; y_202 = 3297.8 + -0.5333x; interpolation 
6060 <= x 6090; y_203 = -1953.8 + 0.3333x; interpolation 
6090 <= x 6120; y_204 = -1548.2 + 0.2667x; interpolation 
6120 <= x 6150; y_205 = 3144.0 + -0.5x; interpolation 
6150 <= x 6180; y_206 = 684.0 + -0.1x; interpolation 
6180 <= x 6210; y_207 = 66.0 + 0.0x; interpolation 
6210 <= x 6240; y_208 = -2624.8 + 0.4333x; interpolation 
6240 <= x 6270; y_209 = 286.8 + -0.0333x; interpolation 
